info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=1 ; d = 1 ; 04,22,2024_22,45,07
[1.83       1.92954545 1.91204819 1.92295082 1.91273292 1.863     ]info: Ns:[100, 1280, 2460, 3640, 4820, 6000] ; reps=4 ; d = 1 ; 04,22,2024_22,47,13
[1.83       1.9453125  1.92195122 1.88983516 1.80809129 1.769     ]info: Ns:[100, 1280, 2460, 3640, 4820, 6000] ; reps=4 ; d = 1 ; 04,22,2024_22,53,35
[1.68       1.640625   1.63292683 1.5989011  1.61887967 1.6165    ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_00,16,41
[0.10789748 0.05853511 0.05180736 0.04521969 0.04328715 0.04013854]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_00,17,51
[0.5537982  0.63384161 0.62598826 0.6234409  0.66306938 0.63422048]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_00,19,46
[0.73781768 0.73782526 0.70318194 0.6967881  0.67177585 0.67242789]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_00,20,55
[0.01237926 0.16832442 0.50407081 1.32163296 1.64588699 1.99115424]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_00,22,22
[1.656      1.61113636 1.58819277 1.59295082 1.60043478 1.60155   ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_10,39,28
[0.09233273 0.0507998  0.05313728 0.042284   0.04429095 0.04070881]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_10,40,40
[0.62012691 0.6343487  0.63156252 0.62572969 0.61920701 0.63791947]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_10,41,51
[0.77893236 0.72451097 0.69640172 0.68295703 0.66257728 0.66778475]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_10,43,02
[0.01286063 0.16896996 0.50025477 1.3439527  1.6769217  2.05625162]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_10,44,12
[1.68       1.63704545 1.61891566 1.61778689 1.60695652 1.5972    ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_11,04,54
[0.08340181 0.06003456 0.0565854  0.0420369  0.0427213  0.03809143]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_11,06,05
[0.57067518 0.64305289 0.62235013 0.60252386 0.63263486 0.62442637]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_11,07,15
[0.76881396 0.72348195 0.69814769 0.68966559 0.66095668 0.66665209]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_11,08,24
[0.0124486  0.17142978 0.49488082 1.30286503 1.64685879 1.97085166]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 1 ; 04,23,2024_11,09,35
[1.584      1.56340909 1.57228916 1.58040984 1.5747205  1.5741    ]
