info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,18,2024_23,19,19
[0.08178295 0.0147378  0.01276492 0.00790192 0.009419   0.00682372]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,19,2024_00,18,58
[0.08311228 0.01498663 0.01280204 0.00794171 0.00941211 0.00683223]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,19,2024_00,21,22
[0.71133333 0.55671247 0.60308118 0.52605695 0.61552795 0.55175   ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,19,2024_00,23,40
[1.44375157 1.50960352 1.60118965 1.60680736 1.57544435 1.5351442 ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,19,2024_00,26,02
[0.04485502 0.67080626 1.86700172 4.90053086 6.12042961 7.24218659]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,19,2024_09,06,32
[0.08311228 0.01498663 0.01280204 0.00794171 0.00941211 0.00683223]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,19,2024_10,24,21
[0.71133333 0.55671247 0.60308118 0.52605695 0.61552795 0.55175   ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,19,2024_10,26,37
[1.44375157 1.50960352 1.60118965 1.60680736 1.57544435 1.5351442 ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,19,2024_10,28,58
[0.04588671 0.65521007 1.84134908 4.75585055 5.96660466 7.15474348]info: Ns:[100, 480, 860, 1240, 1620, 2000] ; reps=5 ; d = 3 ; 04,20,2024_15,58,42
[1.40383115 1.5778101  1.52227784 1.62125578 1.61987394 1.62570316]info: Ns:[100, 680, 1260, 1840, 2420, 3000] ; reps=5 ; d = 3 ; 04,20,2024_16,49,50
[1.43179603 1.53152632 1.53097348 1.55810178 1.5673284  1.58092281]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,21,2024_21,37,19
[1.58563289 1.56817285 1.61078627 1.58197825 1.59202284 1.52975802]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_10,39,40
[0.0898846  0.01514164 0.01280075 0.00791881 0.00940753 0.00680939]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_10,40,55
[0.79       0.56136364 0.60963855 0.52868852 0.61552795 0.54975   ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_10,42,11
[1.51717389 1.57988994 1.60532857 1.61266999 1.59922209 1.53709546]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_10,43,26
[0.02476845 0.36068687 1.02710485 2.61048002 3.26050148 3.99436407]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=10 ; d = 3 ; 04,22,2024_19,34,03
[0.09010642 0.01472804 0.01275528 0.00792707 0.00972764 0.0068707 ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_23,42,43
[0.0503512  0.01018527 0.00607763 0.00464205 0.00417477 0.00369597]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_23,44,34
[0.44       0.32136364 0.27795181 0.27516393 0.27726708 0.2765    ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_23,46,23
[1.37997781 1.45983443 1.43804886 1.4376062  1.45101038 1.42031204]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_23,48,12
[0.0257123  0.34862838 1.00461893 2.56548471 3.23198104 3.89685907]
