info: Ns:[403, 735, 1339, 2440, 4447, 8103] ; reps=2 ; d = 3 ; 04,18,2024_16,57,45
[0.01283646 0.00785673 0.00397563 0.00242165 0.00128258 0.00067256]info: Ns:[100, 480, 860, 1240, 1620, 2000] ; reps=5 ; d = 3 ; 04,20,2024_16,02,30
[1.10857808 1.08714016 1.10189291 1.09487792 1.11636485 1.1234161 ]info: Ns:[100, 480, 860, 1240, 1620, 2000] ; reps=5 ; d = 3 ; 04,21,2024_20,28,37
[1.25439448 1.16984467 1.15259373 1.22149424 1.16367672 1.17498526]info: Ns:[100, 480, 860, 1240, 1620, 2000] ; reps=5 ; d = 3 ; 04,21,2024_20,46,40
[1.24245118 1.15069204 1.17660061 1.20574579 1.17745895 1.22051316]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_10,56,25
[0.05770168 0.00687811 0.00461577 0.0027389  0.00220117 0.00176468]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_10,57,39
[0.38666667 0.15107159 0.11373599 0.08674531 0.07898698 0.05390564]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_10,58,53
[1.54130925 1.38104688 1.39969183 1.36324831 1.42433237 1.44604838]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,22,2024_11,00,06
[0.02334342 0.31784897 0.89570036 2.28249969 2.8660924  3.46483335]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=1 ; d = 3 ; 04,22,2024_22,37,09
[0. 0. 0. 0. 0. 0.]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=1 ; d = 3 ; 04,22,2024_22,39,15
[0. 0. 0. 0. 0. 0.]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_00,11,09
[0.0569551  0.00644443 0.00383868 0.00250981 0.00198327 0.00157035]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_00,12,34
[0.37500794 0.14030706 0.1073035  0.0753151  0.08021886 0.05673409]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_00,13,57
[1.50705716 1.43878658 1.40569913 1.40052928 1.39739339 1.47962104]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_00,15,28
[0.02315607 0.30356503 0.87848463 2.22536426 2.82260389 4.34529147]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_10,33,54
[0.05110824 0.00762977 0.0041894  0.00265992 0.00208987 0.00173581]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_10,35,26
[0.33302564 0.10563539 0.09405647 0.07236626 0.05589027 0.05076562]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_10,36,48
[1.57696759 1.50532146 1.59854074 1.54755542 1.52356757 1.58790339]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_10,38,13
[0.02354794 0.31447196 0.91107192 2.30784321 2.92033148 3.52644105]
